S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
131,0,0,1,0,0,1,2,0,0,1,1
132,0,0,1,2,5,1,0,0,0,1,1
133,0,0,3,1,6,1,1,0,0,1,1
134,0,1,2,0,3,1,2,1,2,0,1
135,0,0,0,0,9,0,2,0,0,1,1
136,0,0,3,0,2,1,2,0,0,1,1
137,0,0,3,0,2,0,2,4,2,5,0
138,0,0,3,0,1,1,2,4,2,5,0
139,0,1,1,0,3,1,2,0,0,1,1
140,0,1,3,1,4,1,1,1,2,0,1
141,0,0,0,0,1,0,3,1,2,0,1
142,0,0,3,0,2,1,2,1,2,0,0
143,0,0,2,1,0,1,0,1,2,0,1
144,0,0,0,0,9,0,2,0,2,2,0
145,0,1,2,0,5,0,0,4,2,5,1
146,0,0,1,0,1,1,2,1,2,0,1
147,0,0,2,0,1,1,2,1,2,0,0
148,0,0,2,1,1,1,3,0,2,0,1
149,0,0,2,1,0,1,0,0,2,2,0
150,0,0,2,0,2,1,0,1,2,0,1
151,0,0,0,1,0,1,2,1,2,0,0
152,0,1,2,1,6,1,2,4,2,5,0
153,0,0,1,1,0,1,0,1,2,0,0
154,0,0,0,0,9,0,2,1,2,0,0
155,0,0,1,2,6,0,1,1,2,0,1
156,0,0,1,1,1,1,2,1,2,0,1
157,0,1,1,0,3,0,2,1,2,0,0
158,0,0,2,1,1,1,2,1,2,0,0
159,0,0,1,0,1,1,0,4,2,5,0
160,0,0,2,0,7,1,0,1,2,0,1
161,0,0,3,1,4,1,1,0,2,2,0
162,0,0,1,1,1,1,0,1,2,0,0
163,0,0,0,0,0,0,2,1,2,0,1
164,0,0,3,1,6,1,2,1,2,0,0
165,0,0,1,1,4,1,0,0,0,1,0
166,0,0,1,0,0,1,0,1,2,0,1
167,0,1,2,0,3,1,2,1,2,0,1
168,0,0,1,0,0,1,2,1,2,0,1
169,0,0,3,0,1,1,3,1,2,0,0
170,0,0,3,0,1,1,2,1,2,0,1
171,0,1,0,0,9,0,2,1,2,0,1
172,0,0,3,0,1,1,2,4,2,5,1
173,0,0,3,0,1,1,3,1,2,0,1
174,0,0,2,0,1,1,2,4,2,5,0
175,0,0,2,2,6,1,0,0,0,1,1
176,0,0,1,1,7,1,0,0,0,1,1
177,0,0,2,0,1,1,2,1,2,0,0
178,0,0,3,0,1,1,0,1,2,0,1
179,0,0,1,0,1,1,2,1,2,0,1
